animal,id,time,x,y
767,399,2006-05-03 20:00:55,1230103.6279073,5782752.6975705
767,400,2006-05-04 00:01:41,1230403.12186533,5782871.17176949
767,401,2006-05-04 04:03:08,1230588.03467149,5783300.82433827
767,402,2006-05-04 12:02:48,1230551.86696893,5783522.15892239
767,403,2006-05-04 16:00:53,1230601.1481075,5783498.44939105
767,404,2006-05-04 20:02:13,1230155.46939416,5782762.90831382
767,405,2006-05-05 00:02:19,1230144.04801441,5782657.21085881
767,406,2006-05-05 04:03:01,1230503.06450416,5783462.36421523
767,407,2006-05-05 16:01:24,1231194.87061165,5783423.97077543
767,408,2006-05-05 20:00:47,1230883.75489878,5783030.31535851
767,409,2006-05-06 00:00:54,1230391.86746481,5782850.46151253
767,410,2006-05-06 12:01:45,1230523.55842242,5783705.36087421
767,411,2006-05-06 16:01:56,1230532.48624558,5783560.15201561
767,412,2006-05-06 20:01:43,1230388.04920628,5783249.57527727
767,413,2006-05-07 00:02:22,1230373.37729739,5783144.11247093
767,414,2006-05-07 08:02:54,1231024.30688786,5783376.68054579
767,415,2006-05-07 12:02:24,1230946.88418201,5783348.16225468
767,416,2006-05-07 20:00:42,1230639.2750331,5782910.52459696
767,417,2006-05-08 00:01:22,1230443.80913921,5783092.96049616
767,418,2006-05-08 04:01:26,1230711.36553534,5783116.92542409
767,419,2006-05-08 08:02:39,1230785.17035773,5783409.68749643
767,420,2006-05-08 12:02:11,1231020.58881686,5783377.59428682
767,421,2006-05-08 16:03:01,1230600.07944039,5783462.05963196
767,422,2006-05-08 20:01:38,1230677.32403505,5782983.37988532
767,423,2006-05-09 00:02:04,1230405.00316472,5783529.24454177
767,424,2006-05-09 12:02:51,1231034.92676728,5783362.46146506
767,425,2006-05-09 16:02:24,1231077.20590988,5783360.77826085
767,426,2006-05-10 16:01:23,1231159.50440942,5783433.94183233
767,427,2006-05-10 20:00:53,1230967.94582967,5783063.81794871
767,428,2006-05-11 00:03:06,1230562.87646657,5783258.35989352
767,429,2006-05-11 08:01:52,1230507.16106143,5783583.04413521
767,430,2006-05-11 12:01:54,1230759.92309722,5783691.49395068
767,431,2006-05-11 20:01:43,1230815.48265507,5782967.44624634
767,432,2006-05-12 00:00:53,1230647.41248788,5783071.20777153
767,433,2006-05-12 04:01:55,1230729.55514013,5783208.15304349
767,434,2006-05-12 12:01:35,1230446.83702937,5783748.1160224
767,435,2006-05-12 16:03:01,1230507.65086719,5783618.69696583
767,436,2006-05-12 20:02:11,1230534.28962133,5782869.69704371
767,437,2006-05-13 00:01:24,1230487.5131713,5782925.30399318
767,438,2006-05-13 04:03:03,1230473.15295699,5783459.22219888
767,439,2006-05-13 08:01:53,1230583.93811423,5783716.80711414
767,440,2006-05-13 12:02:35,1230655.17145638,5783385.93017425
767,441,2006-05-13 20:00:48,1230599.45605124,5782897.89320194
767,442,2006-05-14 00:01:24,1230405.21467176,5782830.82528417
767,443,2006-05-14 04:01:12,1230998.62548133,5783212.75372321
767,444,2006-05-14 08:02:33,1231098.08944635,5783402.84243148
767,445,2006-05-14 12:01:48,1231117.94884351,5783365.58741659
767,446,2006-05-14 16:02:08,1231358.72177015,5783432.37082905
767,447,2006-05-16 00:01:13,1230335.8181012,5783128.77165654
767,448,2006-05-16 04:01:18,1230664.57795336,5783101.16787555
767,449,2006-05-16 12:01:01,1230969.55996228,5783538.0775277
767,450,2006-05-17 00:01:13,1230654.85976181,5782936.65304735
767,451,2006-05-17 04:02:53,1230715.37303701,5783314.4181333
767,452,2006-05-17 20:01:23,1230450.75547544,5783088.80871925
767,453,2006-05-18 00:01:53,1230106.57787381,5783015.61593666
767,454,2006-05-19 00:01:54,1230076.02067358,5782560.33064671
767,455,2006-05-19 04:01:24,1230385.22169121,5782780.25217794
767,456,2006-05-21 20:01:23,1230734.59791307,5783151.26190865
767,457,2006-05-22 00:01:20,1230564.8802174,5782900.76251471
767,458,2006-05-22 04:01:53,1230442.7404721,5783291.99158876
767,459,2006-05-22 08:01:54,1230482.6596415,5783760.18753576
767,460,2006-05-22 12:02:24,1230794.16497259,5783744.25250034
767,461,2006-05-22 16:01:59,1230705.22069945,5783171.74844599
767,462,2006-05-22 20:01:11,1230681.15342553,5783040.97525984
767,463,2006-05-23 00:01:38,1230268.35848977,5782774.03274772
767,464,2006-05-23 04:03:07,1230688.90126209,5783203.21573132
767,465,2006-05-23 12:01:50,1230596.79551541,5783621.48635701
767,466,2006-05-23 20:01:58,1230470.13619879,5782865.7377268
767,467,2006-05-24 00:01:49,1230084.61453827,5782505.94418823
767,468,2006-05-24 08:00:55,1231089.85180403,5783385.01643236
767,469,2006-05-24 12:03:08,1231066.15188444,5783399.42791628
767,470,2006-05-24 20:01:56,1230762.62816085,5783147.41467688
767,471,2006-05-25 00:00:47,1230649.5052943,5783064.90798726
767,472,2006-05-25 04:03:11,1230876.83082645,5783192.21900047
767,473,2006-05-25 08:03:11,1230397.73400198,5783963.20944844
767,474,2006-05-25 12:01:51,1230269.50508053,5784219.63866996
767,475,2006-05-25 20:02:11,1230562.4311886,5782881.30250105
767,476,2006-05-26 00:01:48,1230351.90376762,5782966.85314363
767,477,2006-05-26 04:00:52,1230768.32771878,5783223.71841901
767,478,2006-05-26 20:01:53,1230696.08136925,5783044.03697823
767,479,2006-05-27 00:01:24,1230566.66132926,5782842.67113428
767,480,2006-05-27 04:02:54,1230479.43137627,5783353.19583059
767,481,2006-05-27 20:02:11,1230530.60494619,5782835.28150198
767,482,2006-05-28 00:01:55,1230435.32659402,5782941.68638959
767,483,2006-05-28 04:03:01,1230660.3923405,5783328.89362426
767,484,2006-05-28 20:01:52,1230557.55539491,5782888.72423104
767,485,2006-05-29 00:00:54,1229406.31148502,5783030.36344826
767,486,2006-05-29 04:01:42,1230528.54553561,5783492.96687153
767,487,2006-05-29 08:02:51,1230662.42948718,5784118.15625916
767,488,2006-05-29 12:02:48,1231160.90703501,5783231.63737441
767,489,2006-05-29 16:02:48,1230945.91570244,5783325.92799019
767,490,2006-05-29 20:02:11,1230544.10800042,5783019.35090195
767,491,2006-05-30 00:00:49,1230661.06025745,5783048.31697377
767,492,2006-05-30 04:03:04,1230685.26111474,5783324.99822404
767,493,2006-05-30 12:01:46,1230380.30136972,5783763.16934638
767,494,2006-05-30 16:02:38,1230385.51112189,5783630.75227194
767,495,2006-05-31 00:02:54,1230446.34722361,5782767.01184977
767,496,2006-05-31 04:02:30,1230475.21236757,5783261.1010803
767,497,2006-05-31 08:02:39,1230754.86919234,5783505.95179167
767,498,2006-05-31 12:01:23,1230628.58836198,5783487.42023243
767,499,2006-05-31 16:02:21,1230651.52017708,5783485.40035894
767,500,2006-06-01 04:01:56,1230757.46293647,5783322.59365685
767,501,2006-06-01 16:02:05,1230747.32173086,5783582.43496039
767,502,2006-06-01 20:02:57,1230421.30033818,5782667.06884841
767,503,2006-06-02 12:01:23,1230626.26178463,5783477.8338528
767,504,2006-06-02 16:02:37,1230630.98173104,5783494.85850069
767,505,2006-06-02 20:01:56,1230691.32802699,5783310.506709
767,506,2006-06-03 04:02:42,1230694.24459765,5783277.21158114
767,507,2006-06-03 12:02:25,1230644.1285629,5783547.0227384
767,508,2006-06-03 16:01:48,1230597.95323812,5783536.73093763
767,509,2006-06-03 20:01:43,1230100.73360054,5782954.75065108
767,510,2006-06-04 00:03:07,1230443.13009032,5782880.9498488
767,511,2006-06-04 04:03:05,1230758.15311732,5783434.77542602
767,512,2006-06-04 12:01:24,1230757.52972817,5783521.13295082
767,513,2006-06-04 16:02:18,1230685.46148983,5783604.50955877
767,514,2006-06-04 20:02:12,1230971.7418243,5783109.67983369
767,515,2006-06-05 04:02:43,1230445.93534149,5783330.81727933
767,516,2006-06-05 08:01:47,1230283.29756544,5783858.15496752
767,517,2006-06-05 12:03:01,1230409.07745809,5783572.27136568
767,518,2006-06-06 00:01:42,1230278.19913276,5782790.94383753
767,519,2006-06-06 04:01:24,1229423.06506839,5783075.45572019
767,520,2006-06-06 08:03:02,1230363.72589754,5783120.33983046
767,521,2006-06-06 20:00:54,1230471.7503314,5783145.31473024
767,522,2006-06-07 00:00:54,1230755.26994251,5783145.667393
767,523,2006-06-07 12:02:22,1230653.75769885,5783421.18144641
767,524,2006-06-07 20:01:24,1230473.94332537,5783083.0860029
767,525,2006-06-08 00:00:54,1230372.49787341,5783155.92667943
767,526,2006-06-08 04:00:55,1230430.6734393,5782888.03495564
767,527,2006-06-08 20:01:18,1230484.76357988,5782896.09787822
767,528,2006-06-09 00:01:26,1230243.90159765,5782851.1828442
767,529,2006-06-09 04:01:58,1230501.63961468,5782825.63170942
767,530,2006-06-09 12:01:59,1230636.54770557,5783219.14979411
767,531,2006-06-09 20:00:54,1230052.88848339,5782794.61459019
767,532,2006-06-10 00:01:42,1230255.22278986,5783164.83944415
767,533,2006-06-10 12:01:45,1230611.33384091,5783229.60152892
767,534,2006-06-10 16:02:46,1230632.86303043,5783454.92597424
767,535,2006-06-10 20:01:11,1230456.82238769,5782921.12023535
767,536,2006-06-11 00:01:25,1230176.30840284,5782955.27963385
767,537,2006-06-11 04:00:54,1230082.69984303,5782968.0874385
767,538,2006-06-11 08:02:15,1230193.17330569,5782713.02485681
767,539,2006-06-11 16:02:25,1230632.07266204,5783305.40903568
767,540,2006-06-11 20:01:54,1230457.18974201,5782818.88327269
767,541,2006-06-12 00:01:39,1230062.10573723,5782763.99831537
767,542,2006-06-12 04:02:00,1230439.62352636,5782894.46285158
767,543,2006-06-12 16:01:48,1230428.91459135,5782806.41230337
767,544,2006-06-12 20:01:48,1230272.17674831,5782825.61567987
767,545,2006-06-13 00:00:54,1230300.21812804,5782872.11751768
767,546,2006-06-13 04:01:23,1229653.58546992,5783419.70662912
767,547,2006-06-13 12:02:34,1230659.69102771,5783460.72908413
767,548,2006-06-13 16:01:11,1230565.98228036,5782882.80928806
767,549,2006-06-13 20:00:54,1230405.62655387,5782871.04353246
767,550,2006-06-14 00:01:12,1230362.69062627,5783141.72398293
767,551,2006-06-14 12:02:17,1230865.73227322,5783428.82805737
767,552,2006-06-14 20:02:29,1230398.39078697,5782827.84378718
767,553,2006-06-15 00:01:24,1230468.07678821,5783143.95216971
767,554,2006-06-15 12:02:12,1230654.20297681,5783437.78918847
767,555,2006-06-15 20:01:53,1230328.37082726,5782820.79078754
767,556,2006-06-16 00:00:42,1230324.61936042,5782927.98095804
767,557,2006-06-16 04:03:01,1230742.55725666,5783203.10351972
767,558,2006-06-16 16:01:28,1230461.53120215,5782860.76854613
767,559,2006-06-16 20:01:53,1230188.92090115,5782782.27189076
767,560,2006-06-17 00:03:00,1230360.74253518,5782906.74158844
767,561,2006-06-17 04:01:24,1230279.83552928,5783002.1508388
767,562,2006-06-17 20:01:50,1230256.5920196,5782850.39739416
767,563,2006-06-18 00:02:23,1230329.35043878,5782831.29014132
767,564,2006-06-18 04:02:19,1230261.85743151,5782358.57507268
767,565,2006-06-18 08:01:49,1230108.00276329,5782789.29280079
767,566,2006-06-18 16:02:53,1230762.5502372,5783376.68054579
767,567,2006-06-18 20:01:24,1230520.46374057,5782848.68222801
767,568,2006-06-19 00:01:24,1230284.67792713,5782906.62938059
767,569,2006-06-19 08:02:21,1230514.44135612,5783676.03997129
767,570,2006-06-19 12:01:15,1230602.26130241,5783622.81692897
767,571,2006-06-19 16:02:10,1230549.07284971,5783421.14938516
767,572,2006-06-19 20:01:47,1230201.97867742,5782938.7048553
767,573,2006-06-20 00:00:53,1229870.59168527,5782737.42155103
767,574,2006-06-20 12:03:05,1230865.19793966,5783449.10683747
767,575,2006-06-20 16:02:24,1230669.87676112,5783266.98421502
767,576,2006-06-20 20:00:56,1230149.24663463,5782734.92096694
767,577,2006-06-21 00:01:24,1230272.07656077,5782859.50220699
767,578,2006-06-21 16:02:26,1230710.15215289,5783363.4393267
767,579,2006-06-21 20:02:04,1230065.79041238,5782750.3572762
767,580,2006-06-22 00:00:53,1229937.83978966,5782682.93783031
767,581,2006-06-22 20:00:55,1230337.99996322,5782874.02504398
767,582,2006-06-23 00:02:09,1230785.39299671,5783026.38802968
767,583,2006-06-23 04:03:03,1230325.77708313,5782389.55860872
767,584,2006-06-23 20:02:55,1230037.7601646,5782818.27415038
767,585,2006-06-24 00:01:49,1230371.39581045,5782838.32711975
767,586,2006-06-24 08:01:50,1230713.92588362,5783332.91726992
767,587,2006-06-24 20:01:24,1230066.62530856,5782522.9990276
767,588,2006-06-25 12:03:08,1231022.62596354,5783413.7753012
767,589,2006-06-25 16:02:08,1230403.4558238,5783068.72312326
767,590,2006-06-25 20:00:51,1230434.9369758,5782861.13722718
767,591,2006-06-26 00:01:24,1230401.39641322,5782882.66502121
767,592,2006-06-26 20:01:24,1230428.23554245,5782846.55029297
767,593,2006-06-27 00:01:46,1230354.30826862,5782881.17426386
767,594,2006-06-27 04:01:58,1230419.97563624,5782889.38144717
767,595,2006-06-27 16:02:16,1230095.7798832,5782736.33155275
767,596,2006-06-27 20:02:08,1230119.3907472,5782826.89804372
767,597,2006-06-28 00:01:38,1229939.76561685,5783022.89350997
767,598,2006-06-28 20:02:15,1230402.8435666,5782853.13845479
767,599,2006-06-29 04:01:53,1230336.01847628,5782769.76891406
767,600,2006-06-29 20:00:55,1230547.3696615,5782872.37399178
767,601,2006-06-30 00:01:51,1230454.56260203,5782873.49606606
767,602,2006-06-30 04:02:23,1230448.42889808,5782886.70449397
767,603,2006-06-30 08:01:47,1230448.39550223,5782893.99799111
767,604,2006-06-30 20:00:49,1230371.90788011,5782837.63784827
767,605,2006-07-01 00:00:47,1230363.10250839,5782854.40479302
767,606,2006-07-01 04:01:56,1230646.52193195,5783114.77739446
767,607,2006-07-01 12:01:24,1230603.46355291,5783223.54208607
767,608,2006-07-01 20:01:47,1230466.50718339,5782859.5182366
767,609,2006-07-02 00:00:53,1230394.3610214,5782941.01313982
767,610,2006-07-02 08:02:17,1230118.05491331,5782798.78225881
767,611,2006-07-02 20:01:24,1230372.6759846,5782863.28519535
767,612,2006-07-03 00:01:55,1230372.77617214,5782838.4072676
767,613,2006-07-03 04:02:54,1230596.9290988,5783159.7739149
767,614,2006-07-03 20:00:55,1230370.73902546,5782851.15078501
767,615,2006-07-04 04:01:41,1230518.64923287,5782899.06336849
767,616,2006-07-04 12:02:12,1230595.64892466,5783206.90268496
767,617,2006-07-04 16:02:32,1230673.00483881,5783261.30947465
767,618,2006-07-04 20:01:35,1230399.50398188,5782854.22846743
767,619,2006-07-05 00:01:41,1230379.21043871,5782851.9682943
767,620,2006-07-06 08:01:27,1230507.73992278,5782873.78459946
767,621,2006-07-06 12:02:24,1230485.47602462,5782826.64157094
767,622,2006-07-06 16:02:56,1230475.02312443,5782835.28150198
767,623,2006-07-06 20:00:53,1229868.99981655,5782705.71547923
767,624,2006-07-07 04:01:23,1230367.56641997,5782775.73186998
767,625,2006-07-07 08:01:54,1230516.30039162,5782805.65891633
767,626,2006-07-07 20:01:49,1230148.89041226,5782940.56430667
767,627,2006-07-08 00:00:53,1230109.21614574,5782558.37510072
767,628,2006-07-08 04:01:42,1230251.96112878,5782886.14345598
767,629,2006-07-09 20:01:48,1229954.59337303,5782623.61363026
767,630,2006-07-10 00:00:54,1230276.89669472,5782846.64647047
767,631,2006-07-10 08:03:11,1230492.01047873,5782822.3135938
767,632,2006-07-10 12:02:19,1230486.08828182,5782811.07689267
767,633,2006-07-10 20:01:54,1230415.40040516,5782889.52571413
767,634,2006-07-11 00:02:54,1230351.72565643,5782901.90062227
767,635,2006-07-11 04:01:38,1230801.81262161,5783105.06317742
767,636,2006-07-11 12:01:48,1230609.24103448,5783227.90231966
767,637,2006-07-11 20:01:49,1230405.3593871,5782861.0250199
767,638,2006-07-12 00:01:42,1230375.1027495,5782773.32745178
767,639,2006-07-12 04:03:06,1230184.71302439,5782755.55080685
767,640,2006-07-12 08:02:41,1230593.66743772,5783195.61740563
767,641,2006-07-12 12:02:26,1230690.12577649,5783349.18820623
767,642,2006-07-13 00:01:24,1230375.55915941,5782834.28766903
767,643,2006-07-13 20:03:10,1230430.91834218,5782889.34938784
767,644,2006-07-14 00:01:11,1230229.07384147,5782824.23713893
767,645,2006-07-14 04:02:11,1230831.04511989,5783037.35249494
767,646,2006-07-14 16:02:40,1230550.57566284,5783312.67081649
767,647,2006-07-14 20:01:47,1230370.839213,5782798.23725588
767,648,2006-07-15 04:01:24,1230361.31026459,5782774.04877717
767,649,2006-07-15 08:02:57,1230701.90337862,5783353.19583059
767,650,2006-07-15 12:02:14,1230654.78183817,5783278.34973704
767,651,2006-07-16 20:01:07,1230495.94005675,5783140.52172412
767,652,2006-07-17 00:00:55,1230368.90225386,5783005.22857365
767,653,2006-07-17 08:03:01,1230629.87966808,5783360.63398622
767,654,2006-07-17 20:01:49,1230241.63068004,5782856.61687797
767,655,2006-07-18 04:02:07,1230070.43243515,5783103.49223243
767,656,2006-07-19 00:01:41,1230658.47764526,5783541.3317879
767,657,2006-07-19 04:00:54,1230473.44238766,5783160.15863854
767,658,2006-07-19 20:01:21,1229889.59392235,5783017.21892586
767,659,2006-07-20 00:01:28,1229761.54311209,5782844.24203305
767,660,2006-07-20 04:00:54,1229913.75025185,5782995.69080506
767,661,2006-07-22 20:02:07,1230637.76108802,5783368.69733869
767,662,2006-07-23 00:01:57,1230452.03564958,5783284.84203753
767,663,2006-07-23 08:02:23,1230719.93713613,5783501.35095977
767,664,2006-07-24 08:02:52,1230660.03611813,5783636.26693871
767,665,2006-07-24 16:03:05,1230686.41883745,5783258.13546891
767,666,2006-07-25 00:03:05,1230637.62750463,5783516.01912557
767,667,2006-07-25 08:02:18,1230681.01984215,5783586.49078299
767,668,2006-07-26 00:01:52,1230701.34678116,5783577.44934702
767,669,2006-07-28 12:01:50,1230755.9712553,5783509.15794772
767,670,2006-07-29 00:02:22,1230705.74390105,5783704.44709939
767,671,2006-07-29 08:02:55,1230689.69163048,5783615.9236065
767,672,2006-07-29 12:02:27,1230701.38017701,5783571.14920294
767,673,2006-07-30 00:02:41,1230710.96478517,5783647.40849977
767,674,2006-07-30 20:01:19,1230687.14241414,5783602.31331812
767,675,2006-07-31 00:01:23,1230683.49113484,5783594.65052655
767,676,2006-07-31 12:02:45,1230593.03291662,5783503.09831377
767,677,2006-07-31 16:02:53,1230621.63089381,5783372.56069705
767,678,2006-08-02 16:03:04,1230730.26758487,5783687.08539573
767,679,2006-08-02 20:02:57,1230355.88900539,5783271.47271281
767,680,2006-08-03 00:02:12,1230544.15252822,5783275.51236276
767,681,2006-08-03 04:02:26,1230730.95776572,5783224.69626534
767,682,2006-08-03 12:02:59,1230612.43590387,5783534.90342285
767,683,2006-08-04 00:01:53,1230190.6574852,5782610.91852742
767,684,2006-08-06 12:02:15,1230658.6223606,5783624.45208997
767,685,2006-08-07 04:02:18,1230459.53858326,5783999.79364514
767,686,2006-08-07 08:02:01,1230797.39323782,5783721.69661889
767,687,2006-08-07 20:01:52,1230730.34550852,5783633.73403901
767,688,2006-08-08 08:01:53,1230692.50801359,5783607.50734797
767,689,2006-08-08 12:03:01,1230734.37527408,5783554.60533447
767,690,2006-08-08 20:01:24,1230705.56578986,5783727.61212169
767,691,2006-08-09 20:01:55,1230403.60053914,5783841.12962182
767,692,2006-08-10 12:03:04,1230443.24140981,5783607.26688356
767,693,2006-08-11 00:02:22,1230380.20118218,5783753.85519934
767,694,2006-08-11 04:01:32,1230385.03244807,5783387.83781113
767,695,2006-08-11 08:01:51,1230628.47704249,5783231.95798004
767,696,2006-08-11 12:01:42,1230368.03396183,5783589.88933932
767,697,2006-08-11 20:03:08,1230806.94445013,5783123.11303473
767,698,2006-08-12 00:01:18,1230366.58680845,5783041.71263695
767,699,2006-08-12 04:02:24,1230610.58800032,5783565.55442226
767,700,2006-08-12 20:02:14,1230699.7883083,5783699.50951077
767,701,2006-08-13 04:03:10,1230700.56754473,5783649.49253433
767,702,2006-08-13 08:01:51,1230673.56143626,5783644.66719352
767,703,2006-08-13 16:02:25,1230644.0617712,5783600.66213026
767,704,2006-08-13 20:01:15,1230355.18769259,5783241.96088154
767,705,2006-08-14 00:03:04,1230462.7223207,5783189.25341212
767,706,2006-08-14 12:02:53,1230738.42730355,5783525.0925605
767,707,2006-08-14 20:01:55,1230356.44560284,5783275.51236276
767,708,2006-08-15 04:03:06,1230580.6207934,5783565.26586633
767,709,2006-08-15 20:00:54,1230221.45958831,5783043.31563087
767,710,2006-08-16 00:31:23,1230404.61354651,5783234.28237121
767,711,2006-08-16 01:00:54,1230300.19586414,5783010.85506043
767,712,2006-08-16 01:31:58,1230222.31674838,5783040.07758345
767,713,2006-08-16 02:01:08,1230287.71694922,5783031.24509376
767,714,2006-08-16 02:33:07,1230510.90139632,5783303.35714284
767,715,2006-08-16 04:32:32,1230441.97236762,5783437.42048343
767,716,2006-08-16 05:00:30,1230463.21212646,5783348.17828517
767,717,2006-08-16 05:32:28,1230660.74856287,5783270.70325588
767,718,2006-08-16 06:00:46,1230731.52549512,5783270.07807218
767,719,2006-08-16 07:01:12,1230756.78388758,5783303.66172065
767,720,2006-08-16 07:32:28,1230774.01614476,5783314.03340296
767,721,2006-08-16 08:01:18,1230770.18675427,5783294.49233002
767,722,2006-08-16 08:33:07,1230781.54134233,5783269.29258503
767,723,2006-08-16 09:32:46,1230833.07113462,5783289.79542555
767,724,2006-08-16 10:03:08,1230831.91341192,5783298.29153443
767,725,2006-08-16 11:02:20,1230929.22891077,5783281.57184113
767,726,2006-08-16 11:31:41,1230945.60400786,5783282.14893453
767,727,2006-08-16 12:01:47,1230951.31469774,5783261.75832404
767,728,2006-08-16 12:32:00,1230938.64653969,5783250.24855047
767,729,2006-08-16 13:31:41,1230868.23696176,5783323.71578812
767,730,2006-08-16 14:31:45,1230983.76432931,5783154.48396655
767,731,2006-08-16 15:02:37,1230705.35428283,5783222.69248199
767,732,2006-08-16 15:31:50,1230728.78703565,5783218.26812993
767,733,2006-08-16 16:33:08,1230683.30189171,5783248.21270071
767,734,2006-08-16 17:02:57,1230682.47812747,5783243.16315411
767,735,2006-08-16 17:32:24,1230659.44612483,5783130.02200405
767,736,2006-08-16 18:02:08,1230760.83591705,5783151.16572784
767,737,2006-08-16 18:31:16,1230295.76534841,5783071.22380152
767,738,2006-08-16 19:01:35,1230221.30374102,5782915.71822146
767,739,2006-08-16 19:30:38,1230072.98165148,5782803.57508015
767,740,2006-08-16 20:00:56,1230310.04763908,5782784.61219348
767,741,2006-08-16 20:30:42,1230341.84048565,5782783.85880829
767,742,2006-08-16 21:01:02,1230309.50217357,5782768.56670569
767,743,2006-08-16 21:31:47,1230445.2340287,5782888.93261663
767,744,2006-08-16 22:01:10,1230485.03074665,5782871.09162134
767,745,2006-08-16 22:30:41,1230461.19724368,5782924.67883384
767,746,2006-08-16 23:00:45,1230452.4920595,5782916.56779613
767,747,2006-08-16 23:30:25,1230385.68923307,5782924.59868521
767,748,2006-08-17 00:00:42,1230296.32194586,5783065.24461684
767,749,2006-08-17 20:01:53,1230067.44907279,5782886.89684986
767,750,2006-08-18 20:01:29,1230172.15618583,5783023.67897529
767,751,2006-08-19 00:01:23,1230116.61889188,5782969.75453834
767,752,2006-08-19 04:02:16,1230444.08743794,5782899.8808822
767,753,2006-08-19 20:00:42,1230419.00715667,5782859.14955561
767,754,2006-08-20 00:01:53,1229830.55006444,5782856.37643392
767,755,2006-08-20 04:01:40,1230609.08518719,5782915.22130047
767,756,2006-08-20 20:01:23,1230428.41365364,5782872.45413993
767,757,2006-08-21 00:01:12,1229882.22457206,5782806.65274606
767,758,2006-08-21 04:02:12,1230325.33180516,5783173.03085992
767,759,2006-08-21 20:01:24,1230388.73938712,5782879.15452852
767,760,2006-08-22 00:01:51,1229503.25962955,5783039.51653575
767,761,2006-08-22 20:01:47,1230414.46532144,5782842.99172584
767,762,2006-08-23 00:00:54,1230263.8723143,5782985.43170408
767,763,2006-08-23 04:03:05,1230654.90428961,5783214.85368583
767,764,2006-08-23 16:03:06,1230806.66615141,5783617.14196078
767,765,2006-08-23 20:00:47,1230269.87243485,5782833.34192489
767,766,2006-08-24 04:01:11,1230305.88429012,5783065.13240698
767,767,2006-08-24 16:03:07,1230578.01591732,5783278.04516009
767,768,2006-08-24 20:01:33,1229912.70384864,5782802.24463116
767,769,2006-08-25 00:01:11,1230421.82353978,5782851.74387998
767,770,2006-08-25 04:02:28,1230443.83140311,5783194.65559272
767,771,2006-08-25 08:01:53,1230935.15110768,5783402.79433971
767,772,2006-08-25 20:00:48,1230374.94690221,5782863.86226151
767,773,2006-08-26 00:01:22,1230116.8971906,5782915.70219175
767,774,2006-08-26 04:01:47,1230484.68565624,5782831.30617088
767,775,2006-08-26 08:02:18,1230937.17712241,5783497.03868395
767,776,2006-08-26 16:01:45,1230639.51993598,5783588.36640118
767,777,2006-08-26 20:01:00,1230099.9543641,5782782.64056855
767,778,2006-08-27 00:02:41,1230034.81019809,5782902.1891566
767,779,2006-08-27 04:00:48,1230414.39852975,5782886.60831602
767,780,2006-08-27 16:02:21,1230635.74620524,5783475.84604294
767,781,2006-08-27 20:01:46,1230361.14328535,5782886.60831602
767,782,2006-08-28 00:02:22,1230035.50037893,5782923.12395054
767,783,2006-08-28 04:01:35,1230332.63436376,5782889.84630739
767,784,2006-08-28 20:01:40,1230475.78009697,5782899.97706028
767,785,2006-08-29 00:01:54,1230482.80435684,5782903.27917528
767,786,2006-08-29 04:01:13,1230248.1540022,5783045.3995234
767,787,2006-08-29 08:02:29,1231028.85985503,5783495.11499281
767,788,2006-08-30 08:02:06,1230538.49749808,5783293.89920543
767,789,2006-08-30 16:03:04,1230462.28817469,5783502.04028286
767,790,2006-08-30 20:02:39,1230620.33958772,5782905.90804441
767,791,2006-08-31 04:01:16,1230211.04008396,5783104.03725413
767,792,2006-08-31 08:03:05,1230602.27243436,5783454.7496367
767,793,2006-08-31 20:00:53,1230413.54136967,5782865.8178749
767,794,2006-09-01 00:01:25,1229671.17394946,5783004.28281126
